["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
2.857615e+00,2501,1.33228999781135e-07,1.29700083469654e-01,1.29700216698654e-01,1.29653962297002e-01,4.62544016522348e-05,lamp_kernel
3.150335e+00,2751,1.00446718915715e-07,1.29698114323566e-01,1.29698214770284e-01,1.29658492100147e-01,3.97226701375208e-05,lamp_kernel
3.445000e+00,3001,9.64679335551347e-08,1.29696539302962e-01,1.29696635770896e-01,1.29661941187299e-01,3.46945835970058e-05,lamp_kernel
3.732943e+00,3251,1.02916637130691e-07,1.29695249297723e-01,1.29695352214360e-01,1.29664865767519e-01,3.04864468418375e-05,lamp_kernel
4.020158e+00,3501,1.14834182716536e-07,1.29694175069857e-01,1.29694289904040e-01,1.29667339143752e-01,2.69507602879970e-05,lamp_kernel
4.307305e+00,3751,1.25997885329498e-07,1.29693270955238e-01,1.29693396953123e-01,1.29669494247270e-01,2.39027058528130e-05,lamp_kernel
4.600162e+00,4001,1.31325653511442e-07,1.29692505089248e-01,1.29692636414902e-01,1.29671381050022e-01,2.12553648799574e-05,lamp_kernel
4.893173e+00,4251,1.27343461953022e-07,1.29691853652309e-01,1.29691980995771e-01,1.29673073262368e-01,1.89077334034060e-05,lamp_kernel
5.187126e+00,4501,1.15551421138095e-07,1.29691297816683e-01,1.29691413368104e-01,1.29674216403687e-01,1.71969644172654e-05,lamp_kernel
5.474883e+00,4751,1.05858955215477e-07,1.29690822302323e-01,1.29690928161278e-01,1.29675277286957e-01,1.56508743217598e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
8.387800e-05,1,1.69504950495049e+00,3.44979046533790e-01,2.04002855148428e+00,0.00000000000000e+00,2.04002855148428e+00,lamp_kernel
