cross_term_1,cross_term_2,diff,cumsum
1.3282848997245362e-9,9.371348252005101e-17,-1.3282848060110536e-9,-0.057658853428334614
1.3116818851214454e-9,7.379958414855388e-17,-1.3116818113218613e-9,-0.05765887981932736
1.2952997892651571e-9,1.2008371680195041e-16,-1.2952996691814403e-9,-0.0576589058805889
1.2791328948419956e-9,1.0325162937110476e-16,-1.2791327915903661e-9,-0.057658931616477
1.2631757352325762e-9,1.1017855077223503e-16,-1.2631756250540255e-9,-0.05765895703123807
1.2474229460080164e-9,4.8922084836738126e-17,-1.2474228970859315e-9,-0.05765898212901103
1.231869485351503e-9,1.634804875430655e-16,-1.2318693218710154e-9,-0.057659006913829504
1.2165102859923956e-9,1.223078575522582e-16,-1.216510163684538e-9,-0.05765903138962646
1.2013404986743765e-9,1.2434357223011314e-16,-1.2013403743308043e-9,-0.05765905556023607
1.1863554396602223e-9,1.0077849584396213e-16,-1.1863553388817264e-9,-0.05765907942939737
1.171550569129039e-9,1.59189385168558e-16,-1.1715504099396538e-9,-0.057659103000756835
1.1569214908796423e-9,1.357062130118582e-16,-1.1569213551734293e-9,-0.057659126277871856
1.1424639221240394e-9,9.850750597197828e-17,-1.1424638236165334e-9,-0.05765914926421338
1.1281737621532678e-9,1.0466440104323766e-16,-1.1281736574888668e-9,-0.05765917196316844
1.114047048546684e-9,9.036591817995419e-17,-1.1140469581807658e-9,-0.05765919437804324
1.1000799429938395e-9,7.799408324690151e-17,-1.1000798649997563e-9,-0.05765921651206605
1.0862687717335817e-9,1.2703075528116396e-16,-1.0862686447028263e-9,-0.05765923836838959
1.0726098358224329e-9,9.339213769690577e-17,-1.0726097424302953e-9,-0.05765925995009367
1.059099797677409e-9,1.6104109001038245e-16,-1.0590996366363189e-9,-0.057659281260188044
1.0457352595097639e-9,1.509012098849218e-16,-1.045735108608554e-9,-0.05765930230161471
1.032513061005156e-9,1.4286561876616587e-16,-1.0325129181395372e-9,-0.05765932307725053
1.0194301347084421e-9,1.435946301830518e-16,-1.019429991113812e-9,-0.057659343589909845
1.0064835484845436e-9,1.024454881849914e-16,-1.0064834460390554e-9,-0.05765936384234672
9.93670424451734e-10,1.1621107772713987e-16,-9.936703082406562e-10,-0.0576593838372573
9.809880063859118e-10,1.2427763196326469e-16,-9.8098788210828e-10,-0.05765940357728247
9.684337737335006e-10,1.2297876470698179e-16,-9.684336507547358e-10,-0.0576594230650101
9.560053517569162e-10,1.2029521245983138e-16,-9.560052314617038e-10,-0.057659442302977176
9.438374199978233e-10,1.1148895754547677e-16,-9.438373085088656e-10,-0.057659461294099074
1.252003818365824e-9,5.1298103461503244e-15,-1.2519986885554777e-9,-0.0576594810366386
5.02368929399876e-7,1.516514991077364e-8,-4.872037794891024e-7,-0.05766132682335022
2.3354639999057336e-8,1.8782071081844123e-10,-2.3166819288238893e-8,-0.057668966684377536
1.6893461806813e-9,3.838281796241849e-11,-1.6509633627188814e-9,-0.05766906250633278
1.2547879685766846e-9,1.127858141895939e-11,-1.2435093871577253e-9,-0.05766909116943277
1.1498257274520603e-9,4.215072440852349e-12,-1.145610655011208e-9,-0.05766911460298661
1.0288900340990684e-9,2.5676735920793653e-12,-1.026322360506989e-9,-0.05766913588256202
9.739008838688159e-10,1.768384929250103e-12,-9.721324989395658e-10,-0.05766915613805355
9.619436891087135e-10,1.07804244422478e-12,-9.608656466644888e-10,-0.057669175385307005
9.07027775244756e-10,9.476114817992577e-13,-9.060801637629567e-10,-0.05766919386541436
8.783831380421989e-10,7.712822381663068e-13,-8.776118558040326e-10,-0.057669211841684886
8.69590256400852e-10,5.018160733267408e-13,-8.690884403275252e-10,-0.05766922926015563
8.353687099634151e-10,4.658285184692034e-13,-8.349028814449459e-10,-0.05766924621354516
8.172403670939587e-10,3.754328855513587e-13,-8.168649342084074e-10,-0.05766926279959382
8.079889034582158e-10,2.5563422259607284e-13,-8.077332692356197e-10,-0.05766927900582865
7.842725840562623e-10,2.434435673002128e-13,-7.84029140488962e-10,-0.05766929489042276
7.711475198674363e-10,1.8385100528189576e-13,-7.709636688621544e-10,-0.057669310470347686
7.613216999687488e-10,1.3555960222350322e-13,-7.611861403665254e-10,-0.05766932575929993
7.437761301641659e-10,1.3026204756776663e-13,-7.436458681165982e-10,-0.057669340800694836
7.327932878359806e-10,8.888244905406424e-14,-7.327044053869266e-10,-0.05766935557200484
7.226485557172792e-10,7.49489297896095e-14,-7.225736067874896e-10,-0.05766937010063469
7.090171463162967e-10,6.998503486546865e-14,-7.089471612814313e-10,-0.057669384419272454
6.987493241050503e-10,4.249842498447939e-14,-6.987068256800658e-10,-0.057669398491431184
6.886164729107783e-10,4.30467829610414e-14,-6.885734261278172e-10,-0.05766941234841831
6.774852330959887e-10,3.719229364549237e-14,-6.774480408023432e-10,-0.057669426013468084
6.673600242324998e-10,2.0779883808403328e-14,-6.673392443486914e-10,-0.057669439451945775
6.575171618250997e-10,2.4970578041793983e-14,-6.574921912470579e-10,-0.0576694526909758
6.47876818805239e-10,1.9418970368028414e-14,-6.478573998348709e-10,-0.05766946574645609
6.378362137957144e-10,1.1133007777870565e-14,-6.378250807879365e-10,-0.057669478593784664
6.28418575118753e-10,1.3802346429256589e-14,-6.284047727723237e-10,-0.05766949125051194
6.195522998339945e-10,1.0314153350502996e-14,-6.19541985680644e-10,-0.05766950372828644
6.097906343477691e-10,6.861390815697453e-15,-6.097837729569533e-10,-0.057669516014400554
6.007749234236203e-10,6.83381936184236e-15,-6.007680896042584e-10,-0.057669528115451646
5.922552165183048e-10,5.830413740928424e-15,-5.922493861045638e-10,-0.057669540041465905
