iter,infeas,ot_objective,dual,solver,time(s),problemclass,p,maxval,Algorithm,problem_1,problem_2,eta,primal,resolution_x,unnorm_ot_distance,gap,bintime,resolution_y,ot_distance,maxv
4801,4.68672774329302e-07,2.43425331984566,0.0193186041296413,lamp_kernel,20.6725,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193204081379746,64,19941.39817308305,5.966594004921294e-05,21.11534442254061,64,2.4342527066751765,126.0
5001,3.25653709225017e-07,2.43425279643796,0.0193177967464346,lamp_kernel,21.56095,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193201179458149,64,19941.39817308305,4.112213014578057e-05,21.11534442254061,64,2.4342527066751765,126.0
5201,9.68968092397786e-08,2.43425272716736,0.0192824745840157,lamp_kernel,22.44975,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193196598822483,64,19941.39817308305,1.2229490147717741e-05,21.11534442254061,64,2.4342527066751765,126.0
5401,4.27390747509288e-07,2.43425275857652,0.0193185253446249,lamp_kernel,23.33979,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193203211194039,64,19941.39817308305,5.390313552983757e-05,24.532530197109352,64,2.4342527066751765,126.0
5601,3.95140839472975e-07,2.43425266366095,0.0193183249070636,lamp_kernel,24.23084,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193202558662896,64,19941.39817308305,4.9830759999997806e-05,24.532530197109352,64,2.4342527066751765,126.0
5801,3.26160133350183e-08,2.43425271116255,0.0192838154133161,lamp_kernel,25.12188,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193195311936342,64,19941.39817308305,4.114105053796134e-06,24.532530197109352,64,2.4342527066751765,126.0
6001,3.49056893282831e-07,2.43425274490931,0.019318096253467,lamp_kernel,26.01325,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193201643432255,64,19941.39817308305,4.4019402687273615e-05,24.532530197109352,64,2.4342527066751765,126.0
6201,4.30238518277836e-07,2.43425266020961,0.0193188864319466,lamp_kernel,26.90532,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193203260342557,64,19941.39817308305,5.42565188695129e-05,28.502733643767268,64,2.4342527066751765,126.0
6401,1.51242027547642e-07,2.43425272110622,0.0192860490660973,lamp_kernel,27.79778,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193197685245806,64,19941.39817308305,1.907092651447421e-05,28.502733643767268,64,2.4342527066751765,126.0
6601,2.44221460863546e-07,2.43425273730653,0.019317773016077,lamp_kernel,28.69061,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193199546120212,64,19941.39817308305,3.080253542226051e-05,28.502733643767268,64,2.4342527066751765,126.0
6801,4.21137003401616e-07,2.43425265664589,0.0193188658915102,lamp_kernel,29.58474,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193203078029425,64,19941.39817308305,5.3113291715094956e-05,28.502733643767268,64,2.4342527066751765,126.0
7001,2.37225894934898e-07,2.43425273389286,0.0192904198772424,lamp_kernel,30.4796,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193199405937967,64,19941.39817308305,2.9917680445459575e-05,28.502733643767268,64,2.4342527066751765,126.0
7201,1.42344503525036e-07,2.43425272414676,0.0193175669943262,lamp_kernel,31.37696,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193197507536639,64,19941.39817308305,1.7952879027889866e-05,33.11545195869231,64,2.4342527066751765,126.0
7401,3.91707568366884e-07,2.43425265940572,0.0193106593182807,lamp_kernel,32.2753,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193202489659758,64,19941.39817308305,4.940242307057652e-05,33.11545195869231,64,2.4342527066751765,126.0
7601,3.02543735247861e-07,2.43425274397689,0.019298107196085,lamp_kernel,33.17407,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200713095093,64,19941.39817308305,3.815781235494834e-05,33.11545195869231,64,2.4342527066751765,126.0
7801,4.66301856162667e-08,2.43425270948665,0.0193175349236481,lamp_kernel,34.07422,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.019319559208678,64,19941.39817308305,5.878214861370103e-06,33.11545195869231,64,2.4342527066751765,126.0
8001,3.47326270811672e-07,2.43425266837961,0.0193030348647872,lamp_kernel,34.97396,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.019320160274602,64,19941.39817308305,4.380140568854433e-05,33.11545195869231,64,2.4342527066751765,126.0
8201,3.54368825033364e-07,2.43425274694129,0.0193064231069184,lamp_kernel,35.87407,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193201749832158,64,19941.39817308305,4.469073806775843e-05,33.11545195869231,64,2.4342527066751765,126.0
8401,6.3403215341813e-08,2.43425269881959,0.0193176268626419,lamp_kernel,36.82443,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193195926700782,64,19941.39817308305,7.996660719472031e-06,38.47466604903214,64,2.4342527066751765,126.0
8601,2.75051587784796e-07,2.43425267661682,0.0192980600850912,lamp_kernel,37.72533,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200157906106,64,19941.39817308305,3.468655841713277e-05,38.47466604903214,64,2.4342527066751765,126.0
8801,3.7594128861785e-07,2.43425274775982,0.0193137845065851,lamp_kernel,38.62625,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193202181346393,64,19941.39817308305,4.740968700953623e-05,38.47466604903214,64,2.4342527066751765,126.0
9001,1.60412866861794e-07,2.43425269027507,0.0193178319296698,lamp_kernel,39.52726,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193197866215676,64,19941.39817308305,2.0228421331192127e-05,38.47466604903214,64,2.4342527066751765,126.0
9201,1.82503044832326e-07,2.43425268427439,0.0192939334815398,lamp_kernel,40.43005,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193198307542991,64,19941.39817308305,2.3017784435432094e-05,38.47466604903214,64,2.4342527066751765,126.0
9401,3.6150304979326e-07,2.43425274876509,0.0193190833127539,lamp_kernel,41.33234,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.01932018926614,64,19941.39817308305,4.5591474187283194e-05,38.47466604903214,64,2.4342527066751765,126.0
9601,2.30714921560711e-07,2.4342526804186,0.0193181200393789,lamp_kernel,42.23433,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.019319927147451,64,19941.39817308305,2.9096336693118184e-05,38.47466604903214,64,2.4342527066751765,126.0
9801,9.10686407507605e-08,2.43425269515982,0.0192911150583324,lamp_kernel,43.13601,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193196479718833,64,19941.39817308305,1.1486164091264036e-05,44.701184493300815,64,2.4342527066751765,126.0
10001,3.27083869352864e-07,2.43425274568189,0.0193188839819221,lamp_kernel,44.03859,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193201204033092,64,19941.39817308305,4.12515742518757e-05,44.701184493300815,64,2.4342527066751765,126.0
10201,2.79901923140445e-07,2.43425267284417,0.0193185019197853,lamp_kernel,44.94147,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200254613397,64,19941.39817308305,3.530147332213679e-05,44.701184493300815,64,2.4342527066751765,126.0
10401,1.78227918567097e-08,2.43425270763537,0.0192912762786024,lamp_kernel,45.84369,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193195015791978,64,19941.39817308305,2.2466319676477484e-06,44.701184493300815,64,2.4342527066751765,126.0
10601,2.79802458512909e-07,2.43425273806543,0.0193185173774422,lamp_kernel,46.74403,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200257800395,64,19941.39817308305,3.528650002613416e-05,44.701184493300815,64,2.4342527066751765,126.0
10801,3.1439433512367e-07,2.43425267062423,0.0193189048747792,lamp_kernel,47.64448,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200944285451,64,19941.39817308305,3.964973717225478e-05,44.701184493300815,64,2.4342527066751765,126.0
11001,8.35782629098265e-08,2.43425271702917,0.0192937784434374,lamp_kernel,48.5441,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193196331646939,64,19941.39817308305,1.0541215120300587e-05,44.701184493300815,64,2.4342527066751765,126.0
11201,2.12980089527361e-07,2.43425272998697,0.0193182537744267,lamp_kernel,49.44381,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193198920711868,64,19941.39817308305,2.6858803073832036e-05,44.701184493300815,64,2.4342527066751765,126.0
11401,3.24753124229693e-07,2.43425267067683,0.0193193297886012,lamp_kernel,50.34501,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193201151465408,64,19941.39817308305,4.095489199946722e-05,54.598150033144236,64,2.4342527066751765,126.0
11601,1.62328701069226e-07,2.43425272411289,0.0192970699045494,lamp_kernel,51.24524,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193197907217901,64,19941.39817308305,2.0470854048217857e-05,54.598150033144236,64,2.4342527066751765,126.0
11801,1.31272708190359e-07,2.43425272255684,0.0193180812832182,lamp_kernel,52.1474,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193197285974548,64,19941.39817308305,1.6556242895525062e-05,54.598150033144236,64,2.4342527066751765,126.0
12001,3.0632719254509e-07,2.43425267122434,0.0193153065212708,lamp_kernel,53.0503,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200782990227,64,19941.39817308305,3.863267709716993e-05,54.598150033144236,64,2.4342527066751765,126.0
12201,2.18999474496544e-07,2.43425273144745,0.0193013953899185,lamp_kernel,53.95295,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193199041215478,64,19941.39817308305,2.761870606013033e-05,54.598150033144236,64,2.4342527066751765,126.0
12401,5.02755549327106e-08,2.4342527133122,0.0193180104001196,lamp_kernel,54.85569,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193195665297781,64,19941.39817308305,6.341356944896869e-06,54.598150033144236,64,2.4342527066751765,126.0
12601,2.69846565427203e-07,2.43425267456264,0.019308984290215,lamp_kernel,55.7584,ClassicImages,1.0,126.0,LAMP,data64_1005.csv,data64_1007.csv,,0.0193200053642629,64,19941.39817308305,3.4032779780457404e-05,54.598150033144236,64,2.4342527066751765,126.0
